NM 2906     7737    21323    21394    21493    25849    25528    35095    36837    47236    56016    76233
NM 2907    13431    40177    35936    51445    81803   122186   170452   141515   161892   168619   175463
NM 2908    12388    20121    36834    41192    44276    57054    88524   100912   129679   167832   212861
NY 3001   240205   241515   250276   263006   266203   294486   314637   323397   328636   323608   318546
NY 3002   393746   400700   425942   466066   495522   547238   613186   670101   703289   725643   725220
NY 3003    64283    63674    62076    63631    62991    63966    66727    67557    69566    72949    74691
NY 3004  3570232  4946951  5124398  6129296  6664387  7389574  8324124  8976191  8508480  8727987  9429541
NY 3005  1007391  1187371  1978973  2789369  3032706  3254021  3636877  4063292  3894228  4063000  4359020
NY 3006   271374   308446   345431   363604   365000   389086   433295   443989   424592   419352   401815
NY 3007    82873    86534    80609    85794    93808    95052   115830   117568   128351   136027   132614
NY 3008   116703   118626   116302   120546   119723   127690   139646   139831   142705   141856   144961
NY 3009  1078293  1282552  1489713  1737592  1799399  2008283  2366777  2570265  2474328  2466188  2474493
NY 3010   443794   477245   511507   569162   579403   660796   771205   864776   883897   913845   915556
NC 3101   240341   268798   302784   374055   430181   459815   466159   507472   590516   633300   751193
NC 3102   119545   132348   148291   170598   196240   209478   213777   235900   280346   293493   331534
NC 3103   307048   361660   441794   590390   671177   784590   915624  1024266  1156941  1283513  1531099
NC 3104   234283   278800   317984   393149   449204   520918   613977   750743   911144  1109161  1457861
NC 3105   270028   315332   380198   515527   579088   674659   784064   921886  1063285  1230834  1560297
NC 3106   255287   308803   354401   418968   490011   599346   699870   788640   923897  1037795  1229733
NC 3107   237034   275825   323935   375840   408425   449922   497864   505526   578427   641004   755306
NC 3108   230244   264721   289736   331749   347297   363201   364820   347626   377210   399537   432290
ND 3201     9503    70815    85731    93463    78958    78543    95259    99353    99168    95073    92268
ND 3202    33853    66977    63213    63569    61778    54885    49965    44652    43432    39599    38470
ND 3203    98450   112397   113041   116472   117115   113214   116019   119831   122026   120707   110733
ND 3204     7685    34226    48484    51271    46596    44920    37428    31153    36534    33556    29949
ND 3205    26438    54379    66052    67667    59730    56851    54545    48044    46061    40622    38077
ND 3206    65089    77918    86598    93413    94404    97156   103403   105253   118036   129237   147677
ND 3207     8597    39277    44607    47151    40488    39862    39993    37811    40577    37266    34862
ND 3208    20669    48053    58398    66634    67192    65340    73133    76552    93295    95465   105341
ND 3209    48862    73014    80748    81205    75674    68865    62701    55112    53588    47275    44823
OH 3301   469213   494769   574139   639642   645757   722993   839605   915906   941184   937666   948054
OH 3302   285360   313350   337613   373959   381618   452011   578582   640209   670630   658830   677071
OH 3303   687476   937991  1464034  1839259  1878799  2211772  2776905  3031175  2863656  2775641  2843702
OH 3304   313651   321861   336314   336927   347434   387234   444938   496873   522669   529902   545816
OH 3305   416839   490476   559184   645070   684680   826272  1071730  1270309  1374318  1504550  1714244
OH 3306   177868   184850   195089   212645   231278   265882   323321   357943   387309   392188   425588
OH 3307   373727   478630   635124   751404   785907   865164   990600  1028465  1035337   981352   992821
OH 3308   794313   881680   974143  1158971  1234210  1514154  1950370  2186008  2202046  2281069  2389912
OH 3309   263525   257121   263649   282940   305278   303472   324261   312016   352419   353203   365544
OH 3310   375573   406393   420105   405880   412651   397673   406085   413113   448062   432714   450388
OK 3401    18629    56255    50981    49513    37357    39737    37213    37248    38739    34522    36959
OK 3402   127215   159672   159474   182791   175324   171787   162112   161169   176313   161857   161579
OK 3403    80250   201168   335480   424347   434780   460891   550592   622985   766380   815630   921156
OK 3404    59486   112004    98089   132603   107953    91023    79552    72209    83087    78427    77773
OK 3405   217919   392094   475551   698047   664029   691389   770963   914471  1104065  1205022  1349891
OK 3406    86938   238336   302993   299781   298592   259980   223143   234993   275254   280816   311250
OK 3407    82590   175802   173070   218542   185009   177173   201799   213480   218176   209110   209779
OK 3408    82903   227165   286851   261305   284538   231151   214404   207452   246018   245133   260072
OK 3409    34524    94659   145794   129111   148852   110220    88506    95222   117258   115068   122195
OR 3501    36072    52372    68018    80298    95255   130088   152722   157499   190558   195244   214017
OR 3502   236818   422978   505906   624409   705458  1005334  1179727  1460122  1804015  1978498  2397830
OR 3503    35081    54058    48374    65346    77034   137022   169104   198667   280672   299263   352718
